date,project_id,service,team,env,cost_usd
2025-02-12,proj-gamma,EKS,Core,staging,66.01
2025-02-12,proj-beta,EC2,Core,prod,391.68
2025-02-12,proj-gamma,EKS,Core,prod,28.97
2025-02-12,proj-gamma,Lambda,Core,prod,16.37
2025-02-12,proj-gamma,EKS,Core,staging,68.82
2025-02-12,proj-beta,RDS,Data,prod,100.79
2025-02-12,proj-alpha,RDS,Data,prod,136.95
2025-02-12,proj-alpha,RDS,Web,prod,105.08
2025-02-12,proj-beta,RDS,Data,prod,105.85
2025-02-13,proj-gamma,RDS,Data,prod,130.24
2025-02-13,proj-gamma,Lambda,Web,prod,42.34
2025-02-13,proj-alpha,EKS,Web,prod,188.71
2025-02-13,proj-beta,Lambda,Web,prod,11.35
2025-02-13,proj-alpha,Lambda,Core,prod,27.96
2025-02-13,proj-alpha,EKS,Data,prod,200.31
2025-02-13,proj-alpha,RDS,Data,prod,105.64
2025-02-13,proj-gamma,EC2,Core,prod,401.06
2025-02-13,proj-alpha,EKS,Web,prod,89.8
2025-02-14,proj-beta,Lambda,Data,prod,1.94
2025-02-14,proj-gamma,S3,Core,staging,44.95
2025-02-14,proj-beta,EKS,Data,staging,69.24
2025-02-14,proj-alpha,EC2,Data,staging,217.62
2025-02-14,proj-gamma,EKS,Core,prod,124.42
2025-02-14,proj-alpha,Lambda,Data,prod,42.58
2025-02-14,proj-beta,S3,Data,prod,105.44
2025-02-15,proj-gamma,Lambda,Web,dev,1.47
2025-02-15,proj-alpha,EC2,Data,staging,181.79
2025-02-15,proj-beta,S3,Core,prod,69.97
2025-02-15,proj-gamma,EC2,Core,prod,430.56
2025-02-15,proj-alpha,EC2,Data,prod,420.29
2025-02-15,proj-gamma,Lambda,Data,prod,21.44
2025-02-15,proj-gamma,EKS,Data,prod,143.71
2025-02-15,proj-alpha,EKS,Data,staging,82.45
2025-02-15,proj-gamma,RDS,Web,prod,36.35
2025-02-16,proj-gamma,S3,Core,prod,79.29
2025-02-16,proj-gamma,S3,Web,dev,38.76
2025-02-16,proj-beta,Lambda,Web,prod,25.56
2025-02-16,proj-beta,S3,Data,dev,25.9
2025-02-16,proj-gamma,S3,Core,prod,68.48
2025-02-16,proj-beta,EC2,Data,prod,468.27
2025-02-16,proj-alpha,EKS,Core,dev,35.59
2025-02-16,proj-alpha,RDS,Web,prod,133.28
2025-02-17,proj-gamma,EKS,Data,prod,123.39
2025-02-17,proj-gamma,EKS,Web,prod,160.69
2025-02-17,proj-beta,Lambda,Core,prod,9.77
2025-02-17,proj-alpha,S3,Data,prod,80.1
2025-02-17,proj-beta,Lambda,Web,prod,23.37
2025-02-17,proj-gamma,EKS,Data,prod,185.53
2025-02-18,proj-alpha,Lambda,Core,prod,28.6
2025-02-18,proj-alpha,RDS,Core,prod,94.64
2025-02-18,proj-alpha,S3,Web,prod,68.29
2025-02-18,proj-beta,RDS,Web,staging,48.97
2025-02-18,proj-gamma,Lambda,Data,dev,-8.68
2025-02-18,proj-gamma,Lambda,Web,dev,6.16
2025-02-18,proj-alpha,S3,Core,staging,22.88
2025-02-19,proj-alpha,Lambda,Core,prod,40.23
2025-02-19,proj-beta,EC2,Data,prod,354.09
2025-02-19,proj-alpha,S3,Web,staging,36.23
2025-02-19,proj-beta,EKS,Data,prod,248.23
2025-02-19,proj-alpha,S3,Web,prod,25.09
2025-02-19,proj-beta,EKS,Data,prod,119.12
2025-02-19,proj-gamma,RDS,Web,prod,113.94
2025-02-20,proj-alpha,S3,Web,staging,31.59
2025-02-20,proj-gamma,S3,Data,prod,80.67
2025-02-20,proj-beta,RDS,Web,prod,71.32
2025-02-20,proj-beta,RDS,Core,prod,174.64
2025-02-20,proj-beta,EKS,Web,prod,141.32
2025-02-20,proj-beta,S3,Web,prod,105.14
2025-02-20,proj-alpha,EKS,Data,prod,161.05
2025-02-20,proj-gamma,EC2,Core,prod,293.76
2025-02-20,proj-gamma,S3,Core,prod,60.86
2025-02-20,proj-beta,EC2,Data,dev,120.06
2025-02-21,proj-alpha,Lambda,Data,prod,54.5
2025-02-21,proj-beta,EKS,Data,prod,143.58
2025-02-21,proj-gamma,RDS,Data,prod,88.03
2025-02-21,proj-gamma,EC2,Web,dev,96.33
2025-02-21,proj-gamma,EKS,Data,prod,134.7
2025-02-21,proj-gamma,Lambda,Core,prod,29.35
2025-02-21,proj-alpha,Lambda,Web,prod,31.03
2025-02-21,proj-gamma,S3,Core,prod,66.42
2025-02-21,proj-alpha,EC2,Data,prod,319.0
2025-02-21,proj-alpha,RDS,Core,staging,49.9
2025-02-22,proj-alpha,Lambda,Web,prod,45.01
2025-02-22,proj-gamma,RDS,Web,prod,152.48
2025-02-22,proj-gamma,RDS,Web,prod,119.27
2025-02-22,proj-gamma,EKS,Data,staging,46.0
2025-02-22,proj-gamma,EC2,Core,prod,355.74
2025-02-22,proj-gamma,S3,Web,prod,41.39
2025-02-22,proj-alpha,EKS,Core,prod,219.62
2025-02-22,proj-alpha,Lambda,Data,prod,7.97
2025-02-23,proj-beta,RDS,Web,prod,115.26
2025-02-23,proj-beta,EKS,Web,staging,95.49
2025-02-23,proj-alpha,Lambda,Data,prod,29.5
2025-02-23,proj-alpha,S3,Web,prod,97.56
2025-02-23,proj-beta,Lambda,Web,dev,-4.45
2025-02-23,proj-alpha,EC2,Core,prod,421.15
2025-02-24,proj-alpha,S3,Data,staging,65.92
2025-02-24,proj-gamma,S3,Web,staging,26.03
2025-02-24,proj-alpha,RDS,Core,prod,90.73
2025-02-24,proj-beta,S3,Data,prod,76.28
2025-02-24,proj-beta,EKS,Core,staging,88.14
2025-02-24,proj-beta,S3,Core,dev,27.44
2025-02-24,proj-beta,EKS,Data,prod,146.43
2025-02-24,proj-beta,Lambda,Data,prod,30.81
2025-02-24,proj-gamma,Lambda,Data,staging,13.31
2025-02-25,proj-alpha,Lambda,Data,prod,28.27
2025-02-25,proj-gamma,S3,Web,prod,61.25
2025-02-25,proj-gamma,RDS,Core,prod,184.43
2025-02-25,proj-gamma,Lambda,Web,staging,13.82
2025-02-25,proj-alpha,Lambda,Core,prod,33.06
2025-02-25,proj-beta,RDS,Core,dev,27.76
2025-02-25,proj-gamma,S3,Data,prod,117.06
2025-02-26,proj-beta,RDS,Web,prod,161.87
2025-02-26,proj-gamma,EC2,Data,staging,222.11
2025-02-26,proj-gamma,RDS,Core,prod,118.78
2025-02-26,proj-beta,RDS,Data,prod,93.63
2025-02-26,proj-alpha,S3,Data,prod,63.84
2025-02-26,proj-beta,Lambda,Core,staging,18.78
2025-02-26,proj-beta,Lambda,Data,prod,36.3
2025-02-26,proj-gamma,EKS,Web,prod,116.12
2025-02-26,proj-alpha,RDS,Web,prod,100.18
2025-02-26,proj-beta,EKS,Web,prod,74.35
2025-02-27,proj-alpha,Lambda,Core,prod,5.47
2025-02-27,proj-beta,Lambda,Data,prod,29.44
2025-02-27,proj-alpha,Lambda,Core,dev,2.78
2025-02-27,proj-gamma,Lambda,Core,dev,23.06
2025-02-27,proj-gamma,S3,Core,staging,39.59
2025-02-27,proj-alpha,EC2,Data,staging,155.2
2025-02-28,proj-beta,EKS,Data,prod,139.32
2025-02-28,proj-alpha,S3,Core,dev,28.15
2025-02-28,proj-beta,RDS,Core,prod,136.51
2025-02-28,proj-alpha,EKS,Core,staging,90.77
2025-02-28,proj-alpha,Lambda,Data,prod,29.66
2025-02-28,proj-alpha,RDS,Core,prod,126.79
2025-02-28,proj-gamma,EKS,Web,prod,143.4
2025-03-01,proj-gamma,EKS,Data,staging,80.3
2025-03-01,proj-alpha,EKS,Core,prod,127.95
2025-03-01,proj-alpha,EKS,Data,dev,41.68
2025-03-01,proj-gamma,EKS,Web,prod,136.81
2025-03-01,proj-alpha,RDS,Data,staging,103.66
2025-03-01,proj-gamma,EC2,Core,dev,128.29
2025-03-01,proj-alpha,S3,Data,prod,19.95
2025-03-01,proj-gamma,EC2,Web,prod,345.01
2025-03-01,proj-beta,EC2,Web,prod,367.45
2025-03-02,proj-alpha,EC2,Core,prod,426.12
2025-03-02,proj-alpha,RDS,Data,staging,66.11
2025-03-02,proj-beta,S3,Data,prod,82.79
2025-03-02,proj-gamma,EKS,Core,prod,204.5
2025-03-02,proj-beta,S3,Core,prod,109.16
2025-03-02,proj-gamma,EC2,Data,staging,211.81
2025-03-02,proj-beta,EC2,Web,staging,185.23
2025-03-02,proj-alpha,S3,Data,prod,52.72
2025-03-02,proj-gamma,EKS,Web,prod,37.66
2025-03-03,proj-gamma,EKS,Data,staging,114.7
2025-03-03,proj-beta,EKS,Data,staging,64.31
2025-03-03,proj-alpha,Lambda,Data,prod,20.9
2025-03-03,proj-beta,RDS,Web,dev,40.13
2025-03-03,proj-alpha,S3,Data,prod,128.62
2025-03-03,proj-beta,EC2,Core,prod,368.99
2025-03-03,proj-gamma,Lambda,Data,prod,41.07
2025-03-03,proj-gamma,EKS,Data,prod,142.28
2025-03-03,proj-beta,EC2,Core,staging,173.6
2025-03-04,proj-beta,EC2,Web,staging,155.42
2025-03-04,proj-beta,EKS,Data,staging,82.18
2025-03-04,proj-alpha,Lambda,Data,prod,21.9
2025-03-04,proj-beta,EKS,Core,prod,107.59
2025-03-04,proj-beta,EC2,Web,prod,323.56
2025-03-04,proj-gamma,EC2,Web,staging,191.0
2025-03-04,proj-alpha,S3,Core,prod,44.03
2025-03-04,proj-alpha,S3,Web,prod,92.88
2025-03-04,proj-beta,RDS,Data,staging,57.93
2025-03-05,proj-gamma,Lambda,Web,prod,15.5
2025-03-05,proj-alpha,RDS,Data,prod,126.86
